company_id,metric_type,period_years,value_pct,computed_cagr_pct,divergence_pct,flag_for_review
HDFCBANK,compounded_sales_growth,10,21.0,,,False
HDFCBANK,compounded_profit_growth,10,22.0,,,False
HDFCBANK,stock_price_cagr,10,15.0,,,False
HDFCBANK,roe,10,17.0,,,False
HDFCBANK,compounded_sales_growth,5,22.0,21.95098428169122,0.049015718308780265,False
HDFCBANK,compounded_profit_growth,5,23.0,23.865063572879073,0.8650635728790732,False
HDFCBANK,stock_price_cagr,5,8.0,,,False
HDFCBANK,roe,5,17.0,,,False
HDFCBANK,compounded_sales_growth,3,30.0,,,False
HDFCBANK,compounded_profit_growth,3,26.0,,,False
HDFCBANK,stock_price_cagr,3,8.0,,,False
HDFCBANK,roe,3,17.0,,,False
HDFCBANK,stock_price_cagr,1,13.0,,,False
INFY,compounded_sales_growth,10,12.0,,,False
INFY,compounded_profit_growth,10,9.0,,,False
INFY,stock_price_cagr,10,15.0,,,False
INFY,roe,10,27.0,,,False
INFY,compounded_sales_growth,5,13.0,13.199100930556229,0.19910093055622902,False
INFY,compounded_profit_growth,5,11.0,11.239419983657939,0.23941998365793893,False
INFY,stock_price_cagr,5,22.0,,,False
INFY,roe,5,29.0,,,False
INFY,compounded_sales_growth,3,5.0,,,False
INFY,compounded_profit_growth,3,10.0,,,False
INFY,stock_price_cagr,3,4.0,,,False
INFY,roe,3,31.0,,,False
INFY,stock_price_cagr,1,27.0,,,False
SBILIFE,compounded_sales_growth,10,23.0,,,False
SBILIFE,compounded_profit_growth,10,9.0,,,False
SBILIFE,stock_price_cagr,10,9.0,,,False
SBILIFE,roe,10,16.0,,,False
SBILIFE,compounded_sales_growth,5,24.0,24.231614182367544,0.23161418236754372,False
SBILIFE,compounded_profit_growth,5,6.0,7.374662152227485,1.3746621522274847,False
SBILIFE,stock_price_cagr,5,8.0,,,False
SBILIFE,roe,5,14.0,,,False
SBILIFE,compounded_sales_growth,3,17.0,,,False
SBILIFE,compounded_profit_growth,3,9.0,,,False
SBILIFE,stock_price_cagr,3,7.0,,,False
SBILIFE,roe,3,13.0,,,False
TCS,compounded_sales_growth,10,11.0,,,False
TCS,compounded_profit_growth,10,9.0,,,False
TCS,stock_price_cagr,10,14.0,,,False
TCS,roe,10,40.0,,,False
TCS,compounded_sales_growth,5,10.0,10.463614801716602,0.4636148017166022,False
TCS,compounded_profit_growth,5,8.0,7.871172131953608,0.12882786804639235,False
TCS,stock_price_cagr,5,16.0,,,False
TCS,roe,5,44.0,,,False
TCS,compounded_sales_growth,3,14.0,,,False
TCS,compounded_profit_growth,3,12.0,,,False
TCS,stock_price_cagr,3,8.0,,,False
TCS,roe,3,47.0,,,False
TCS,stock_price_cagr,1,16.0,,,False
